type,note(s),duration_type,duration_quarterLength,tie,quarterLength
note,C#2,quarter,1.5,,1.5
note,F2,quarter,1.5,,1.5
note,G#2,quarter,1.5,,1.5
note,C#2,quarter,1.5,,1.5
note,F2,quarter,1.5,,1.5
note,G#2,quarter,1.5,,1.5
note,C#2,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E2,16th,0.25,,0.25
note,B2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,G3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,B2,16th,0.25,,0.25
note,E2,16th,0.25,,0.25
note,B2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,B2,16th,0.25,,0.25
note,G#2,quarter,1.5,,1.5
note,F#2,quarter,1.5,,1.5
note,F2,quarter,1.5,,1.5
note,G#2,quarter,1.5,,1.5
note,F#2,quarter,1.5,,1.5
note,F2,quarter,1.5,,1.5
note,E2,quarter,1.5,,1.5
note,F#4,eighth,0.75,,0.75
note,F4,eighth,0.75,,0.75
note,D4,eighth,0.75,,0.75
note,E4,eighth,0.75,,0.75
note,D4,quarter,1.5,,1.5
note,E4,quarter,1.5,,1.5
note,C4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,G#5,complex,4.5,,4.5
note,C#3,quarter,1.5,,1.5
note,G#3,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,F5,inexpressible,65.5,,65.5
note,G#5,16th,0.25,,0.25
note,C6,16th,0.25,,0.25
note,F4,quarter,1.5,,1.5
